"last_name, first_name","player_id","year","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break","offspeed_range_speed"
"Lodolo, Nick",666157,2022,"L",19.5,"30.1","94.4","2312","16.5","-20.1","10.8","19.8","1",,,,,,,,,"10.4","88.3","1962","17.9","-32.9","2.3","18.2","1.1","30.6","81.5","2733","-13.8","-40","1.4","14.1","1.4","28.9","94.2","2341","18.8","-24.5","6.5","20","0.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59","94.3","2326","17.6","-22.3","8.7","19.9","0.9","30.6","81.5","2733","-13.8","-40","1.4","14.1","1.4","10.4","88.3","1962","17.9","-32.9","2.3","18.2","1.1"
"Thornton, Trent",663423,2022,"R",45.2,"41.7","93.8","2431","-2.5","-13.1","18.1","18.4","1.5","0.8","85.1","2705","6.4","-30.4","7.6","10.1","1.6",,,,,,,,,"15.2","79.7","3028","8.4","-59.4","-15.9","18.1","1.6","4.4","92.9","2263","-11.1","-19.7","12","16.4","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"38","82.1","2923","14.8","-41","-0.2","15.2","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"46.1","93.7","2415","-3.3","-13.7","17.5","18.2","1.5","53.9","81.5","2950","12.9","-46.1","-4.5","16","2",,,,,,,,
"McCarty, Kirk",668948,2022,"L",44,"38.5","92.5","2311","7.1","-13.6","18.5","20","1.2","3.5","82.7","2461","-6","-37.4","2.1","7.6","1.7","7.7","84.7","1610","12.5","-25","13.1","18.3","1.6","10.1","77.1","2714","-9.1","-54.5","-8.3","13.3","1.9",,,,,,,,,"40.2","88.5","2416","-2.9","-25.8","8.9","9.7","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.7","90.5","2365","2","-19.8","13.6","14.8","2.6","13.6","78.5","2649","-8.3","-50.1","-5.7","11.8","2.8","7.7","84.7","1610","12.5","-25","13.1","18.3","1.6"
"Mantiply, Joe",573009,2022,"L",19.1,"1.9","90.9","2149","13.6","-22.9","10.5","17.5","1.4",,,,,,,,,"26","82.6","1702","16.5","-40.7","-0.1","16.7","1.2","30.2","81.1","2336","-6.6","-43.4","-1.8","7.5","1.2","41.9","90.4","2192","18.3","-29.4","4.4","18.9","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.8","90.5","2190","18.1","-29.1","4.6","18.9","1.2","30.2","81.1","2336","-6.6","-43.4","-1.8","7.5","1.2","26","82.6","1702","16.5","-40.7","-0.1","16.7","1.2"
"Bickford, Phil",641360,2022,"R",29.3,"68","94.1","2361","-4.8","-15.2","15.7","16.6","1.3","31.9","83.3","2293","6.5","-37.6","1.7","7.4","1.8","0.1","88.7","2185","-7.7","-18.6","16.5","18.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68","94.1","2361","-4.8","-15.2","15.7","16.6","1.3","31.9","83.3","2293","6.5","-37.6","1.7","7.4","1.8","0.1","88.7","2185","-7.7","-18.6","16.5","18.3",
"Pepiot, Ryan",686752,2022,"R",36.3,"56","94","2410","-9.9","-12.9","18.1","20.7","1.1","18.2","86.7","2693","7","-32.4","3.7","8.5","1.8","25.6","86.8","2374","-16.8","-29.8","6.5","18.1","1.3",,,,,,,,,"0.1","92.8","1971","-8.7","-14.5","16.9","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.2","93.9","2409","-9.9","-12.9","18.1","20.7","1.1","18.2","86.7","2693","7","-32.4","3.7","8.5","1.8","25.6","86.8","2374","-16.8","-29.8","6.5","18.1","1.3"
"Cessa, Luis",570666,2022,"R",44.5,"20.4","93.3","2297","-7.6","-16.8","14.6","16.6","1.3","38.9","82.9","2528","5.7","-44.2","-4.6","7.6","1","19","87.8","1679","-11.5","-29.6","5.7","13.2","1.3",,,,,,,,,"21.6","93.6","2190","-14.7","-20.9","10.3","18.1","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42","93.5","2242","-11.3","-18.9","12.4","17.4","1.2","38.9","82.9","2528","5.7","-44.2","-4.6","7.6","1","19","87.8","1679","-11.5","-29.6","5.7","13.2","1.3"
"Gustave, Jandel",594311,2022,"R",26.5,"6.9","96.1","2485","-10.5","-16.6","13.1","17.2","1.2","36.5","86.2","2379","7.7","-36.9","-0.3","8","1.4",,,,,,,,,,,,,,,,,"56.7","95.9","2379","-16.1","-22.8","7","17.7","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.5","95.9","2391","-15.5","-22.2","7.7","17.6","1","36.5","86.2","2379","7.7","-36.9","-0.3","8","1.4",,,,,,,,
"Díaz, Edwin",621242,2022,"R",22.6,"41.9","99.1","2352","-13.5","-14.5","13.5","19.2","1.5","58.1","90.8","2274","1.5","-28.8","4.3","4.8","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.9","99.1","2352","-13.5","-14.5","13.5","19.2","1.5","58.1","90.8","2274","1.5","-28.8","4.3","4.8","1.5",,,,,,,,
"Cueto, Johnny",456501,2022,"R",32.6,"19","91.4","2195","-12.1","-17.7","15.1","19.5","1.5","16.4","83.5","2235","2.7","-33.7","5.4","6.9","2.2","20.1","82.6","1325","-12.2","-36","4.1","13.1","1.7","0.6","69.9","2095","3.5","-57","-0.7","4.4","1.7","24","91.4","2108","-16.8","-23.5","9.3","19.3","1.5","19.8","86.9","2178","-3.3","-26.1","9.9","10.9","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.8","90","2156","-11.1","-22.6","11.2","16.7","2.8","17.1","83","2230","2.7","-34.6","5.2","6.8","3.5","20.1","82.6","1325","-12.2","-36","4.1","13.1","1.7"
