avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
95.4,2376.0,-13.7,-19.0,11.4,18.0,1.1,19.1,"Hudson, Daniel",2017,R,,SI,11.618042,3.9200728,543339,https://baseballsavant.mlb.com/sporty-videos?playId=491910-1,https://baseballsavant.mlb.com/sporty-videos?playId=2383fedd-f98a-4985-b7e4-4488e23178f3
88.8,2475.0,6.1,-32.2,2.3,6.8,1.4,2.0,"Shaw, Bryan",2022,R,45.2,SL,1.1133084,4.768529,543766,https://baseballsavant.mlb.com/sporty-videos?playId=662139-2,https://baseballsavant.mlb.com/sporty-videos?playId=70333cf6-6e21-4efd-bfbd-482d977b8a52
90.7,2431.0,16.5,-25.9,7.4,18.3,1.6,6.6,"Boyd, Matthew",2023,L,23.9,SI,6.6359725,10.568977,571510,https://baseballsavant.mlb.com/sporty-videos?playId=717752-4,https://baseballsavant.mlb.com/sporty-videos?playId=fea77929-78d5-4287-a35a-6c0f8d4c1599
82.9,2209.0,4.9,-38.8,0.9,5.5,1.8,10.5,"Hancock, Emerson",2024,R,27.4,SL,1.5331976,3.7979178,676106,https://baseballsavant.mlb.com/sporty-videos?playId=745207-2,https://baseballsavant.mlb.com/sporty-videos?playId=6edc868d-6f6d-44db-8170-db8d2af432cf
92.8,2145.0,-16.4,-21.7,10.2,19.4,1.5,26.0,"Berríos, José",2018,R,,SI,11.626323,3.1392019,621244,https://baseballsavant.mlb.com/sporty-videos?playId=530111-1,https://baseballsavant.mlb.com/sporty-videos?playId=9ce33622-6f69-47d2-9b4b-d8539fc54237
92.8,2422.0,-14.0,-23.9,7.9,16.3,1.4,24.7,"Duffey, Tyler",2018,R,,SI,11.455462,2.9181406,608648,https://baseballsavant.mlb.com/sporty-videos?playId=531253-1,https://baseballsavant.mlb.com/sporty-videos?playId=a3e223a8-8be0-47ea-9825-4072df5dcbb7
95.6,2315.0,-10.9,-13.2,16.9,20.2,1.1,54.1,"Barnes, Matt",2020,R,45.2,FF,14.107267,6.6989617,598264,https://baseballsavant.mlb.com/sporty-videos?playId=631197-2,https://baseballsavant.mlb.com/sporty-videos?playId=2d0c1974-6b14-4646-8698-89b876be8fbf
83.3,1809.0,13.7,-31.4,7.9,16.1,1.4,45.5,"Moran, Jovani",2022,L,48.4,CH,5.2503424,12.729667,663558,https://baseballsavant.mlb.com/sporty-videos?playId=661650-4,https://baseballsavant.mlb.com/sporty-videos?playId=e95a3661-551b-4921-986a-f8892808b73c
81.1,2013.0,-3.3,-48.8,-7.0,8.1,1.5,18.9,"Paxton, James",2019,L,,CU,0.35809866,3.218119,572020,,
84.1,1663.0,9.0,-24.4,14.2,17.0,1.3,12.6,"Benjamin, Wes",2021,L,50.7,CH,5.1266675,12.364844,605138,https://baseballsavant.mlb.com/sporty-videos?playId=632766-1,https://baseballsavant.mlb.com/sporty-videos?playId=1c73cca2-60fd-45e7-893d-a3cddadd4486
